Review_title,Date,Body,Star_rating,Comments
Works!,Reviewed in India 🇮🇳 on 3 September 2022,The strap quality could have been better. It's got stay on hand to be useful..features are normal and accurate matches other brands..,3,0
Awesome smartwatch,Reviewed in India 🇮🇳 on 25 October 2022,Worth the prize I am satisfied with it the app also working smoothly the quality of the product is very nice no issues I have been using this watch for 3days now.,5,1
Awesome Product,Reviewed in India 🇮🇳 on 22 October 2022,"Build quality of the product with touch sensitivity is really good. I am expecting great features of this watch as well. Looks and design is stunning for my purchase of blue colour. Exercise, sleep and heart rate tracking are some of the great features of this watch.",5,1
smarty watch for a reason!,Reviewed in India 🇮🇳 on 25 October 2022,I really think its all in one. Great smartwatch at the fraction of the price of a Apple Watch. This watch offers great features and does quite a bit for the price point. Love it and the battery life is also amazing.,5,1
Nice and cool watch,Reviewed in India 🇮🇳 on 28 July 2022,Watch is really nice and cool...buy on prime day sale. But i return due to battery drain Perticular while using calling function BT calling.Function are good but blood pressure option not available.Overall if you agree to little bit drain of battery problem (bt calling we can use 3 days and without calling 5 days battery backup)then it's surely very good choice if its under 2k.,3,0
Good Watch this Price Range,Reviewed in India 🇮🇳 on 26 October 2022,"This is best Bluetooth calling smart watch. It has more than 150 watch faces. It's come with IP68 rating so it is dust ans water resistant. It has verious sports mode like walking, running, basketball, football, yoga, swimming etc.",5,1
Value for money,Reviewed in India 🇮🇳 on 27 October 2022,"I enjoyed this product for one reason, the Apple Watch is too expensive but this is a cheaper alternative and works just as well I use it for my daily runs to track my miles",5,1
Smooth refresh rate and touch response,Reviewed in India 🇮🇳 on 23 October 2022,"The UI of the watch is perfect and very user friendly , the accuracy of the sensors are good . Audio and call quality is perfect . Planning to order another one for myself . Good to buy",5,1
Osm product,Reviewed in India 🇮🇳 on 12 August 2022,Value for moneyNice calling smartwach this bought,4,1
Fabulous watch,Reviewed in India 🇮🇳 on 27 October 2022,"This watch does everything an Apple Watch would at a fraction of the cost. I really cannot say anything bad about it. You can receive texts, WhatsApp notifications, make and receive calls.",5,1
LOOKING SIMPLE & SUPERB,Reviewed in India 🇮🇳 on 28 October 2022,Love the watch & the seller is excellent & buying experience is a plus. It was a pleasure doing business with you. Thank you for the watch,5,1
totally worth It,Reviewed in India 🇮🇳 on 30 October 2022,"worth the money . Bought myself one, my son checked it out . He has one now too. we are very pleased.",5,1
A good product,Reviewed in India 🇮🇳 on 27 October 2022,This is a pretty cool watch you have to keep in mind what you're paying for and what to expect for the price... this is a great watch,5,1
Great watch in such price,Reviewed in India 🇮🇳 on 30 October 2022,"It's an amazing watch in such price range, loved the color, Battery charging was fast,touch sensitivity is good. Looking good on wrist.",5,1
Best smartwatch at good price,Reviewed in India 🇮🇳 on 26 October 2022,On usage so far1. Voice calling 📞 is fantastic comes handy when you are driving . Speaker also lound and clear2. Battery 🔋 is good3. Display is good4. Strudy design5. Synching is smooth,5,1
Good Smartwatch with Calling Feature,Reviewed in India 🇮🇳 on 25 October 2022,"This smart watch is great. I love that it is a fitness tracker, has a built-in speaker and is water resistant. I also love that it has a dial pad on it. It is a great fitness tracker and a smart watch in one.",5,1
ALL FEATURES WORKING FINE AND ACCURATE,Reviewed in India 🇮🇳 on 29 October 2022,"THIS BOAT SMARTWATCH HAVE BEST QUALITY PRODUCT.I LOVE IT THE MOST THIS SMARTWATCHALL TOUCH SCREEN,DISPLAY,SENSORS WORKING FINE AND ACCURATE.BEST SMART WATCH EVER.",5,1
Fabulous smartwatch 😍,Reviewed in India 🇮🇳 on 26 October 2022,This smartwatch is awesome and came with allmost all the features necessary. Inbuilt quality is also good and touch is like butter. Microphone work properly and speaker sound is clear. Value for money product.,5,1
Looking awesome,Reviewed in India 🇮🇳 on 28 October 2022,"""I’m really impressed with this watch. Nice looking, battery last for days without needing to be recharge and have a bunch of others features.Great buy, love it.""",5,1
Worth buying,Reviewed in India 🇮🇳 on 25 October 2022,It's a nice watch with deep blue straps looks quite cool. It's lightweight and slim. The touch is good and speaker is loud. The call option is really good. Great display at this price range. Go for it without a doubt.,5,1
Review on watch,Reviewed in India 🇮🇳 on 26 July 2022,I purchased this watch today it's was one day delivery. And I got it on discount. watch is very nice and sturdy giving a apple watch look. it's worth it. it's actually a smart watch,4,1
Nice one model with calling function,Reviewed in India 🇮🇳 on 26 October 2022,"Why pay so much for a name brand watch when this watch does everything that a Apple Watch does. I get txt, calls, steps, BP, EKG……etc love this watch",5,1
Astonishing,Reviewed in India 🇮🇳 on 25 October 2022,"This smartwatch is really smart. It shows accurate readings of your heart rate, blood oxygen level.I cross-checked it with the instrument I have. Overall I am very satisfied. Recommended.",5,1
Worth for money,Reviewed in India 🇮🇳 on 26 July 2022,"1)Brightness is high2) Battery is good3) touch screen are fast moving with no lag4) speaker is loud and clear ,mic is good4)overall worth for moneyReview after 1day",4,1
Best Smart Watch with in the Budget Price,Reviewed in India 🇮🇳 on 28 October 2022,"From being able to change watch faces, to sleep functions to receiving readable msgs, to keeping track of oxygen and heart beat its a really fun watch to own...",5,1
Superb,Reviewed in India 🇮🇳 on 25 October 2022,The product built quality is really superb. And touch quality is really very smooth. And it also have a good battery quality. And it also have a reasonable price and its value for money.,5,1
Good at this price range,Reviewed in India 🇮🇳 on 29 October 2022,i have use this watch from last 3-4 days its realy good bulid qulity in this range and  watch look is awsome,5,1
Good Experience,Reviewed in India 🇮🇳 on 29 October 2022,Love this watch hooks up easily to my phone and can make and receive call and text messages with the touch will make a great gift,5,1
Nice watch,Reviewed in India 🇮🇳 on 31 October 2022,"Mobile app is easy to use, battery works for more than 2 days ,,,,perfect for my use.",5,1
Best watch,Reviewed in India 🇮🇳 on 31 October 2022,One of the Best watch used so far. Very Convenient to use and feature rich. Worth the Money,5,1
Very good model,Reviewed in India 🇮🇳 on 30 October 2022,I like this watch because packing is nice and warrenty card also given for this watch it was very super,5,1
Good quality,Reviewed in India 🇮🇳 on 29 October 2022,"I purchased this for the sleep monitor, blood pressure and heart rate capability. I like the bright display, easy to read.",5,1
Nice product,Reviewed in India 🇮🇳 on 29 October 2022,I like that has the step counter and can keep track of your heart rate. And can notify me of text messages.,5,1
I love this  beautiful watch,Reviewed in India 🇮🇳 on 20 August 2022,"The media could not be loaded.
                



 I purchased blue one! It’s now so beautiful when  I install 22 mm stainless steel strap ❤️",4,1
Awesome,Reviewed in India 🇮🇳 on 28 October 2022,This was just what my wife had been looking for. does a great job tracking vitals and her sleep patterns. She loves it!,5,1
Goof digital watch,Reviewed in India 🇮🇳 on 28 October 2022,"Super impressed with this, paired it easily to my phone, the app was easy to install and the watch is easy to navigate.",5,1
Not satisfy with battery's performance,Reviewed in India 🇮🇳 on 6 September 2022,,3,0
Good product,Reviewed in India 🇮🇳 on 3 September 2022,,3,0
Amazing Product,Reviewed in India 🇮🇳 on 30 October 2022,"Excellent watch, one of the best smart watch I used so far. Worth of money.",5,1
Good phone,Reviewed in India 🇮🇳 on 3 August 2022,"Phone is very good only issue is its does not have BP monitor, mensuration cycle. Overall nice phone",4,1
It's very good watch.....if you buy this i promise that it will be very helpfull for you : ),Reviewed in India 🇮🇳 on 11 October 2022,Hi everyone...here i want to say that its a very good product of boat if you buy this in less than 3thousand rupees it will be best deal.....so what are you waiting for order it..and yess it is very very very usefull for collage school and medical students....thank you and have a nyc one : ),5,1
Quite good,Reviewed in India 🇮🇳 on 31 October 2022,Pretty decent for the amount. Has all necessary functions and decent battery life. Calling quality is also quite good.,5,1
genuine,Reviewed in India 🇮🇳 on 22 August 2022,"1.Best calling enabled2.mic  is audible and clear3.display is fine and responsive4.Easy and fast , little bit lag6.Notification timing is too accurate",3,0
Battery is not up to mark,Reviewed in India 🇮🇳 on 18 August 2022,Good watch just not satisfied with battery life if u connect Bluetooth it doesn't give a single day full backup ....this bad is battery life.....not happy with the purchase,3,0
Worth it,Reviewed in India 🇮🇳 on 31 October 2022,This is a gift for someone who need to monitor his/her health.,5,1
Watch is smart and I am happy this watch,Reviewed in India 🇮🇳 on 28 October 2022,This is a good screen and battery back up is a good and I am happy this watch wave calling,5,1
Excellent,Reviewed in India 🇮🇳 on 29 October 2022,This smart watch is the best at keeping you on track and affordable. Love it,5,1
Amazing quality,Reviewed in India 🇮🇳 on 28 October 2022,Has the Same quality as an Apple Watch. Great Build Quality. Great fitness tracker. Battery lasts multiple days with one charge.,5,1
Fast charging,Reviewed in India 🇮🇳 on 24 October 2022,"I wanted a simple smart watch to give me time, count my steps, keep track of heart rate, have calling feature and document my workouts. This one did all of that well, at a low price.",5,1
For the money,Reviewed in India 🇮🇳 on 29 October 2022,"For the money !!! A great watch. Keeps good time, good battery life and measurements are pretty acurate.",5,1
Loved this watch,Reviewed in India 🇮🇳 on 30 October 2022,Bought this instead of a fitbit due to my working conditions. Its better than expected and use the blood pressure feature all the time.,5,1
Awesome smartwatch😘,Reviewed in India 🇮🇳 on 29 October 2022,Good battery life.....Good design.....Very good watch for blootooth calling.....Sports modes......I love this 😍😍,5,1
Most advanced watch in such an affordable price.,Reviewed in India 🇮🇳 on 25 October 2022,This watch got some serious skills. It is comfortable to wear. It connects easily and gives 99 percent accuracy. I liked the colour choices available. It is a perfect gift to give.,5,1
Battery Backup,Reviewed in India 🇮🇳 on 26 July 2022,1. Battery backup is not up to mark...it hardly last for 1.5 to 2 days2. No silent option available for incoming call3. touch is not that much responsive4. Songs name does not appear on display in music control feature.All other feature same as regular smart watches....consider above points which I observed before buying.,3,0
Amazingg,Reviewed in India 🇮🇳 on 31 October 2022,We took the black color one.Everything is good . Nice watch,5,1
Value for money,Reviewed in India 🇮🇳 on 28 October 2022,Over all a very good tracker. Good battery back up is more then 10 days. Very light and comfortable,5,
Value for money and look,Reviewed in India 🇮🇳 on 30 October 2022,Awesome purchase. Worth it. Theme and the look both are classy.,5,
Nice product 👍,Reviewed in India 🇮🇳 on 28 July 2022,"Ovaral ok but , manual image to wallpaper upload time will take 10mins , that is too much taking time",4,
Amazing smart watch🥰,Reviewed in India 🇮🇳 on 28 October 2022,The app companion and the overall functionally is very good for the smart watch. Notifications from an iPhone are sent to the watch promptly.,5,
"Best in segment , Clear and loud speaker.",Reviewed in India 🇮🇳 on 27 July 2022,"Best watch in the segment , but my device was having battery draining issues so replaced it but didn't receive yet.",4,
Very nice product,Reviewed in India 🇮🇳 on 30 October 2022,This smart watch is really very smart and accurate...i m fully happy with this product,5,
Great product,Reviewed in India 🇮🇳 on 29 October 2022,Great product for the priceI bought it for the sleep trackingLove it !,5,
Good smartwatch,Reviewed in India 🇮🇳 on 24 October 2022,"This watch has been great so far and does everything as advertized.love that it tracks your steps, heart rate,BP,O2 sats and sleep . You can also connect it to your phone to get notifications",5,
Perfect,Reviewed in India 🇮🇳 on 28 October 2022,"Almost perfect 🥰 display it's so great and design also good, size is perfect for my wrist ...love this watch",5,
Good,Reviewed in India 🇮🇳 on 17 August 2022,Working well good product so far,4,
Good product,Reviewed in India 🇮🇳 on 18 August 2022,Good product,4,
Calling,Reviewed in India 🇮🇳 on 27 October 2022,You can take this now this watch is very useful,5,
GOOD QUALITY IN THIS RANGE,Reviewed in India 🇮🇳 on 12 October 2022,"Really impressive but not the quality in the picture, reality is another, lcd screen for watch is not the best , should have amoled , it will be really impressive, should have more watch faces, need more sports mode for gym , should give one scratch guard, straps are really good",5,
Good product,Reviewed in India 🇮🇳 on 28 October 2022,"""Very nice product in this price rangeAttractive Design with long battery likeVery satisfied with this product""",5,
Very Nice Product,Reviewed in India 🇮🇳 on 30 October 2022,Does everything that more expensive products do for half the price!,5,
Amazing product,Reviewed in India 🇮🇳 on 29 October 2022,"Battery consumption is more faster when using call option, othervise it's amazing...",5,
Worth and best sound quality product,Reviewed in India 🇮🇳 on 26 October 2022,This is really a great product. I have used it continuously for 2 days and battery life is good. I really like this product. Sound quality is good.,5,
Wao very nice watch,Reviewed in India 🇮🇳 on 23 October 2022,Its really amazing watch in this price its doing good work i am impress with this smartwatch its functions are amazing sound quality is good,5,
Super smart,Reviewed in India 🇮🇳 on 25 October 2022,I had gifted to my sister she love it. Amazing feature of this calling watch. Battery backup upto 24hrs. Sound qulity is too good.,5,
Stylish watch.,Reviewed in India 🇮🇳 on 29 October 2022,The stylish is very good. Good features and sports modes.,5,
Best watch,Reviewed in India 🇮🇳 on 27 October 2022,"The best watch, I have been trying to get a watch like this for a while now and I am happy with it.",5,
Very good product,Reviewed in India 🇮🇳 on 31 October 2022,Everything worked great. Very happy with my new watch.,5,
"I like this watch for its screen,sleep tracking or accuracy",Reviewed in India 🇮🇳 on 29 October 2022,"I like this watch for its screen,sleep tracking or accuracy",5,
Great product,Reviewed in India 🇮🇳 on 28 October 2022,"Great product, didn't expect it to be so nice. Long battery life!",5,
Beautiful smart watch this Diwali,Reviewed in India 🇮🇳 on 25 October 2022,I am very happy with the watch. It is perfect for what I need. The price was great at the time of purchase.,5,
Good Product,Reviewed in India 🇮🇳 on 6 August 2022,It's value for money.,4,
Great smart watch,Reviewed in India 🇮🇳 on 27 October 2022,Amazing watch.. I really love my new watch and its very comfortable to wear. Its also very durable. Connecting to the mobile app and instruction were super easy... really nice product for the price.... its awesome!!!,5,
Beautiful Watch!,Reviewed in India 🇮🇳 on 28 October 2022,Terrific product. Does everything I was needing it for and more. Highly recommend!,5,
Great product fully satisfied,Reviewed in India 🇮🇳 on 26 October 2022,The thing I like the most was calling from the watch and the big screen with all the different colours. Amazing. Feels great,5,
A great option at this price segment,Reviewed in India 🇮🇳 on 1 August 2022,I bought this watch for 1999 and for me it's a deal breaker.,4,
Nice,Reviewed in India 🇮🇳 on 28 October 2022,Arrived quick and easy to setup. Description and picture is accurate.,5,
Good watch,Reviewed in India 🇮🇳 on 31 October 2022,Easy to use and provides good info.,5,
Nice,Reviewed in India 🇮🇳 on 30 October 2022,I am very satisfied with this as it is a fraction of the cost of an apple watch!!Must buy!*,5,
Best one smartwatch,Reviewed in India 🇮🇳 on 27 October 2022,"I like this watch too much because of the great features like a call receiver, making a call, and other amenities.",5,
Good to use,Reviewed in India 🇮🇳 on 28 October 2022,Great watch! It was a gift to my dad and he loves it!,5,
Good,Reviewed in India 🇮🇳 on 31 October 2022,Easy to use and provides good info.,5,
Excellent product,Reviewed in India 🇮🇳 on 27 October 2022,This is the best watch for this price. And it is very light and it is very comfortable in the hands. I love ite❣️,5,
Amazing smart watch with calling,Reviewed in India 🇮🇳 on 28 October 2022,"""Without a second thought just go for this brand.You won't regret it.""",5,
Awesome Product 👍,Reviewed in India 🇮🇳 on 28 October 2022,This is a good device for keeping track of day-to-day medical conditions,5,
Battery backup is not good,Reviewed in India 🇮🇳 on 24 August 2022,Battery is not good,3,
Awesome watch,Reviewed in India 🇮🇳 on 24 October 2022,"I really excited this watch  This watch all features is premium likeSpeaker, hd display, more battery life, working so easily fastThanks boat",5,
Awesome 👌,Reviewed in India 🇮🇳 on 25 October 2022,"Waveboat smart ⌚ watch is awesome..I'm using it.it's very helpful ..touch,speed, accuracy all of these is very grateful 🙏...new technology 😀 💯",5,
Best watch,Reviewed in India 🇮🇳 on 26 October 2022,Very easy to set up and easy to use. I only have to charge it once a week. Much better that the Fitbit versa.,5,
Noticeable,Reviewed in India 🇮🇳 on 28 October 2022,"This watch is amazing for the price. It has all the features I want without paying Apple prices. It has nice, sleek appearance and catches people’s eyes as well.",5,
"top quality, value for money",Reviewed in India 🇮🇳 on 27 October 2022,Everything is on point. Battery life is also good and connectivity with boat app is also seamless,5,
AMAZING PRODUCT.!,Reviewed in India 🇮🇳 on 26 October 2022,Compared readings with the ones at the doctors office. It was spot on. Good battery life and easy to use app.,5,
Best quality watch in this price range,Reviewed in India 🇮🇳 on 25 October 2022,Worth every penny.Best watch in this price range it has many features and functions,5,
Value for money,Reviewed in India 🇮🇳 on 31 October 2022,"""Elegant designgreat featuresValue for money""",5,
Value of money,Reviewed in India 🇮🇳 on 25 October 2022,This is all that it was advertised. It is lightweight and very stylish and a 10 day battery life between charges.,5,
mild blowing,Reviewed in India 🇮🇳 on 28 October 2022,My niece and wife love the smart watches!... Thank you,5,
Look of watch so good and fits perfectly,Reviewed in India 🇮🇳 on 24 October 2022,1. Speaker is good2.mic 10 out of 103. Touch screen 10 out  10I love the calling feature most,5,
Love it,Reviewed in India 🇮🇳 on 30 October 2022,Very good and accurate with it's readings,5,
Very nice product of boat and thanks Amazon team😊,Reviewed in India 🇮🇳 on 29 October 2022,Very nice product.. 😊 & great experience... 👍,5,
Worth buying.,Reviewed in India 🇮🇳 on 28 October 2022,It’s great for taking care of your every day functions quickly.,5,
perfect for the price,Reviewed in India 🇮🇳 on 30 October 2022,the Product is good for daily use,5,
Amazing boat wave call smartwatch,Reviewed in India 🇮🇳 on 27 October 2022,I like everything about this smart watch. Great Battery life. Great Features. HAPPY W.L.H.,5,
Boat wave call,Reviewed in India 🇮🇳 on 29 October 2022,Such a nice product n value for money,5,
It's very cool 😎 👌,Reviewed in India 🇮🇳 on 26 July 2022,"The media could not be loaded.
                



 Its very cool but only if you buy it in offer i have taken it at the prime day 1999 in this range this watch is best 👌",4,
Best,Reviewed in India 🇮🇳 on 27 October 2022,The product was in good condition and price was quite reasonable I bought it in sale,5,
Good quality,Reviewed in India 🇮🇳 on 25 October 2022,This is a nice products.Overall performance of the watch is good also the quality is superb.calling system is also good quality and comfortable.,5,
Excellent,Reviewed in India 🇮🇳 on 28 October 2022,"Great watch, excellent price, and top notch customer service.",5,
AWESOME PRODUCT,Reviewed in India 🇮🇳 on 28 October 2022,"""I like this product fully work karta haiAwesome product 👍👍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍""",5,
Very nice watch,Reviewed in India 🇮🇳 on 28 October 2022,This is absolutely one of the best watches I’ve ever had!,5,
Touch screen is marvelous ✨️ 👌,Reviewed in India 🇮🇳 on 26 October 2022,Touch screen and bass make it the best.Because I have heard a lot about this so I prefer this watch.,5,
Nice watch,Reviewed in India 🇮🇳 on 28 October 2022,I absolutely love this watch. It does everything I was looking for.,5,
Very nice..,Reviewed in India 🇮🇳 on 28 October 2022,Absolutely love this watch. It does everything I was looking for.,5,
Good built quality. Great features in this price!,Reviewed in India 🇮🇳 on 25 October 2022,The design and User Interface is easy and smooth. Bluetooth connectivity is easy. Touch sensitivity is quite precise. Very happy with the purchase.,5,
Good features in this budget,Reviewed in India 🇮🇳 on 29 October 2022,More features than you could possibly imagine.,5,
Bought this for my husband...he loves it!,Reviewed in India 🇮🇳 on 29 October 2022,Bought this for my husband...he loves it!,5,
Osm smartwatch,Reviewed in India 🇮🇳 on 26 October 2022,This smartwatch quality is very good and very nice quality. This smartwatch is my favourite smartwatch. Value for money.,5,
Awesome,Reviewed in India 🇮🇳 on 29 October 2022,Very good watch. Better than Apple watch.,5,
Most Buying,Reviewed in India 🇮🇳 on 28 October 2022,My wife loves this!! Better than his first smart watch!,5,
Quality and features of this watch are spectacular,Reviewed in India 🇮🇳 on 28 October 2022,"For the price, quality of this watch is beyond my expectations.",5,
Excellent,Reviewed in India 🇮🇳 on 25 October 2022,Excellent smart watch. Worth for what price it comes. Good Experience. 👍👍👍,5,
Great Smartwatch,Reviewed in India 🇮🇳 on 27 October 2022,"Exactly what I needed, wanted and expected. Great price as well.",5,
Awesome work,Reviewed in India 🇮🇳 on 29 October 2022,Reasonably priced fitness tracker and smart watch.,5,
Loved it,Reviewed in India 🇮🇳 on 27 October 2022,Design is fabulous also visible in day light battery life is too much accurate in sports mood,5,
Great Quality,Reviewed in India 🇮🇳 on 28 October 2022,"Very easy to use, inexpensive and great quality",5,
Amazing one,Reviewed in India 🇮🇳 on 29 July 2022,Value for Money Best Smart Watch at this Price. But when calling options battery got drain ASAP,4,
amazing,Reviewed in India 🇮🇳 on 31 October 2022,"Good performance, best price and always happy",5,
Gorgeous smart watch,Reviewed in India 🇮🇳 on 30 October 2022,Gorgeous and perfect little watch.,5,
Physical activity moniter and more control is good,Reviewed in India 🇮🇳 on 15 October 2022,Watch is very good watch face is note attractive i am go to cloud  download but only 1 watch face download watch capacity only 6 but anway all watch function is work very good,5,
Nice,Reviewed in India 🇮🇳 on 28 October 2022,"Stylish design, comfortable to wear, ready to use",5,
Great Experience,Reviewed in India 🇮🇳 on 30 October 2022,Great watch and fitness tracker,5,
Great product,Reviewed in India 🇮🇳 on 26 October 2022,Great inexpensive smartwatch!! I like that I can control my music and can make and receive calls from it.,5,
Easy connectivity,Reviewed in India 🇮🇳 on 30 October 2022,"Easy to use,great features,great Price",5,
Amazing,Reviewed in India 🇮🇳 on 28 October 2022,Watch works great with perfect amount of functionality,5,
Nice,Reviewed in India 🇮🇳 on 2 August 2022,Nice watch but battery not getting long time,4,
Ok good,Reviewed in India 🇮🇳 on 3 August 2022,Good,4,
Awesome Product,Reviewed in India 🇮🇳 on 23 October 2022,Best smart watch with calling feature and battery backup also stand by 9 to 10 days. Proud to use indian brand with awesome function and feactures.,5,
Product feedback,Reviewed in India 🇮🇳 on 29 October 2022,Watch features are very good,5,
Overall good product with in this budget,Reviewed in India 🇮🇳 on 29 October 2022,Descent quality for the price,5,
Smart watch review,Reviewed in India 🇮🇳 on 29 October 2022,Does it all and works great.,5,
Accurate and easy to use,Reviewed in India 🇮🇳 on 25 October 2022,This Fitness Watch is great. It was easy to setup. It is totally accurate.,5,
Good,Reviewed in India 🇮🇳 on 1 August 2022,Good smart watch,4,
Good product,Reviewed in India 🇮🇳 on 25 October 2022,If you connected with Bluetooth call so battery will go for only oneday.,5,
Best Product,Reviewed in India 🇮🇳 on 27 October 2022,"Love this watch , so easy to use it. ♥️",5,
Value for money,Reviewed in India 🇮🇳 on 22 October 2022,Great productI love this smartwatch as it looks quite premiumI track my activities with itIt value for money,5,
Very good product,Reviewed in India 🇮🇳 on 25 October 2022,"Has a great design and battery life , it is also very easy to set up .",5,
multitasker watch,Reviewed in India 🇮🇳 on 25 October 2022,"The media could not be loaded.
                



 It has worked from the start and without any difficulties! The App isn't hard to use either. I have shopped for various watch bands to use. My skin tends to be delicate and it doesn't bother me, also different color looks more beautiful.",5,
Value for this money,Reviewed in India 🇮🇳 on 17 August 2022,"All r looking better, for this range is value.",3,
Fabulous 🤩,Reviewed in India 🇮🇳 on 22 October 2022,Thank you Amazon for this beautiful watch. It's awesome Thank you boat and Amazon. Watch is amazing and very good quality Thanks,5,
Nice Smartwatch,Reviewed in India 🇮🇳 on 25 October 2022,"Battery life is much better, and it doesn't disconnect constantly like the Fitbit did. Love it!",5,
Very Good product,Reviewed in India 🇮🇳 on 2 August 2022,Good one,4,
I loveeeee this product. It is worth every penny.,Reviewed in India 🇮🇳 on 27 October 2022,I loveeeee this product. It is worth every penny.,5,
Not recommended,Reviewed in India 🇮🇳 on 12 October 2022,"I am very much disappointed with this boat product. I wont suggest anyone to buy this specific model. After getting this product at a good price range with the specifications that they are providing i bought 2 smart watch ( wave call) but while using it have faced lots of issues. Like accuracy, Bluetooth connectivity problem and even battery life , the smart watch automatically restarts , gets disconnected from the app. Very much disappointed with the accuracy as well.",2,
Bateary,Reviewed in India 🇮🇳 on 11 August 2022,Quality- look - goodbut message option and contact detail difficult to manageBattery back up not upto the required level,3,
Excellent,Reviewed in India 🇮🇳 on 29 October 2022,I like it,5,
It's a outstanding product,Reviewed in India 🇮🇳 on 28 October 2022,"Small and Compact, Lightweight, Great on the go",5,
Awsome,Reviewed in India 🇮🇳 on 28 October 2022,Awsome product even better customer service,5,
best of all,Reviewed in India 🇮🇳 on 28 October 2022,Awesome easy to manage.,5,
Attractive,Reviewed in India 🇮🇳 on 27 October 2022,"Excellent way to track my health and fitness daily, weekly, and monthly.",5,
Smart watch,Reviewed in India 🇮🇳 on 19 October 2022,Battery life is great and exercise modes. I have sets of bands with different colors that make it even better,5,
Nice 👌👌👌,Reviewed in India 🇮🇳 on 29 October 2022,Super  👌👌👌👌,5,
amazing product,Reviewed in India 🇮🇳 on 23 October 2022,Worth every pennyBest choice please purchase anyoneThis watch is value for moneyNo any problem to use,5,
Looking amazing 👏 😍,Reviewed in India 🇮🇳 on 24 October 2022,Nothing to say more about this product looks amazing. Loved it,5,
Affordable and good to wear,Reviewed in India 🇮🇳 on 29 October 2022,Excellent watch for a great price,5,
A very substandard product from Boat,Reviewed in India 🇮🇳 on 17 October 2022,"The user interface, Bluetooth connectivity, call receiving, declining not quickly responsive, very disappointing product from Boat. Past experience of Boat products was very good, that's why went for this. Highly disappointing. Worst of all the watch strap. its worst quality. very soft rubber. After buckling the strap doesn't enter into loop of the strap. I wanted to return this product, but there is no refund option for this product, there is only replacement with same product, so makes no sense.",2,
Value for money,Reviewed in India 🇮🇳 on 26 October 2022,This is a most fabulous item. Keeps track of everything.,5,
Nice watch,Reviewed in India 🇮🇳 on 28 October 2022,Great product for good price...highly recommended,5,
Good product,Reviewed in India 🇮🇳 on 30 October 2022,,5,
Notifications problem,Reviewed in India 🇮🇳 on 27 July 2022,In this watch all is okay but I facing a big problem that not receive any notifications in watch always showing no message. I have do all necessary thing check Bluetooth always conected all alow from device but till now I am facing same problem,3,
Sound,Reviewed in India 🇮🇳 on 30 October 2022,For calling,5,
Very nice product,Reviewed in India 🇮🇳 on 29 October 2022,Very nice product,5,
Best Smart Watch.. Excellent...,Reviewed in India 🇮🇳 on 24 October 2022,Keeping track of my steps on the daiy and the battery life is excellent!....,5,
I like watch,Reviewed in India 🇮🇳 on 30 October 2022,Nice,5,
Worth the price tag,Reviewed in India 🇮🇳 on 27 October 2022,I like this watch. Worth the price tag,5,
Nice,Reviewed in India 🇮🇳 on 29 October 2022,,5,
Sorry this product is not working for the same problem but not able connect you,Reviewed in India 🇮🇳 on 25 October 2022,Please refresh your products and get it,5,
A  best quality product,Reviewed in India 🇮🇳 on 25 October 2022,Very best producu.call system are automatically.enjoy with a smooth touch.it is most useful for notifications.,5,
Awesome product in this range..,Reviewed in India 🇮🇳 on 29 October 2022,,5,
The qualities of fire boltt phoenix,Reviewed in India 🇮🇳 on 19 October 2022,The display is good.The strips are very nice.It shows the correct rate of heart and spo2.The sensors work good.,5,
Very nice,Reviewed in India 🇮🇳 on 28 October 2022,"Great watch for the price,great quality",5,
Amizing watch,Reviewed in India 🇮🇳 on 29 October 2022,Please buy,5,
Beautiful Watch.,Reviewed in India 🇮🇳 on 29 October 2022,Very Nice.,5,
Charging is very fast and not draining fast.,Reviewed in India 🇮🇳 on 10 October 2022,It is a very good product. But the screen miss click sometime. Battery is good. Accuracy is avarage. The watch is best under it's price range.I am very glad to have my first smart watch. 🙂🙂,5,
Value for money,Reviewed in India 🇮🇳 on 23 October 2022,Best  calling watch in this price range..Connectivity is awsome..It has good brightness..Looks durable..It has good battery life..,5,
Nice product,Reviewed in India 🇮🇳 on 30 October 2022,Good,5,
Good quality(watch),Reviewed in India 🇮🇳 on 25 October 2022,Very useful functions…Good audio quality and smoothly connect to mobile..,5,
Music controller don't work this watch,Reviewed in India 🇮🇳 on 3 September 2022,The media could not be loaded.,3,
Its comfortable in hand and quality is nice,Reviewed in India 🇮🇳 on 24 October 2022,It was nice watch in comparison other brandLooking so decent and with smooth touch,5,
Good,Reviewed in India 🇮🇳 on 28 October 2022,Super Nice watch!,5,
It's very compact device for call and many more,Reviewed in India 🇮🇳 on 26 October 2022,It's very good quality for calling and display are best.,5,
Excellent experience,Reviewed in India 🇮🇳 on 26 October 2022,The calling quality is watch is excellent.,5,
Nice watch,Reviewed in India 🇮🇳 on 26 October 2022,This watch is really reasonable to own for your money.,5,
Best smartwatch,Reviewed in India 🇮🇳 on 28 October 2022,"Superb digital watch..Sleep tatlong superb,mmmmmmmmmmmmmmm",5,
Good,Reviewed in India 🇮🇳 on 28 October 2022,"Stylish, practical, functional and affordable",5,
Best Watch,Reviewed in India 🇮🇳 on 26 October 2022,Value for money and awesome look in my Hand,5,
